,Ticker,Date,variable,Value
15771,ADRO,2018-08-08,Low,1980
15772,ADRO,2018-08-09,Low,1925
15773,ADRO,2018-08-10,Low,1900
15774,ADRO,2018-08-13,Low,1810
15775,ADRO,2018-08-14,Low,1800
15776,ADRO,2018-08-15,Low,1780
15777,ADRO,2018-08-16,Low,1780
15778,ADRO,2018-08-20,Low,1800
15779,ADRO,2018-08-21,Low,1845
15780,ADRO,2018-08-23,Low,1865
15781,ADRO,2018-08-24,Low,1890
15782,ADRO,2018-08-27,Low,1860
15783,ADRO,2018-08-28,Low,1885
15784,ADRO,2018-08-29,Low,1885
15785,ADRO,2018-08-30,Low,1895
15786,ADRO,2018-08-31,Low,1840
15787,ADRO,2018-09-03,Low,1840
15788,ADRO,2018-09-04,Low,1800
15789,ADRO,2018-09-05,Low,1700
15790,ADRO,2018-09-06,Low,1675
15791,ADRO,2018-09-07,Low,1720
15792,ADRO,2018-09-10,Low,1705
15793,ADRO,2018-09-12,Low,1745
15794,ADRO,2018-09-13,Low,1725
15795,ADRO,2018-09-14,Low,1720
15796,ADRO,2018-09-17,Low,1690
15797,ADRO,2018-09-18,Low,1700
15798,ADRO,2018-09-19,Low,1725
15799,ADRO,2018-09-20,Low,1730
15800,ADRO,2018-09-21,Low,1795
15801,ADRO,2018-09-24,Low,1815
15802,ADRO,2018-09-25,Low,1805
15803,ADRO,2018-09-26,Low,1805
15804,ADRO,2018-09-27,Low,1810
15805,ADRO,2018-09-28,Low,1820
15806,ADRO,2018-10-01,Low,1820
15807,ADRO,2018-10-02,Low,1830
15808,ADRO,2018-10-03,Low,1835
15809,ADRO,2018-10-04,Low,1810
15810,ADRO,2018-10-05,Low,1790
15811,ADRO,2018-10-08,Low,1750
15812,ADRO,2018-10-09,Low,1730
15813,ADRO,2018-10-10,Low,1730
15814,ADRO,2018-10-11,Low,1700
15815,ADRO,2018-10-12,Low,1705
15816,ADRO,2018-10-15,Low,1675
15817,ADRO,2018-10-16,Low,1685
15818,ADRO,2018-10-17,Low,1745
15819,ADRO,2018-10-18,Low,1710
15820,ADRO,2018-10-19,Low,1690
15821,ADRO,2018-10-22,Low,1695
15822,ADRO,2018-10-23,Low,1695
15823,ADRO,2018-10-24,Low,1655
15824,ADRO,2018-10-25,Low,1610
15825,ADRO,2018-10-26,Low,1665
15826,ADRO,2018-10-29,Low,1660
15827,ADRO,2018-10-30,Low,1640
15828,ADRO,2018-10-31,Low,1615
15829,ADRO,2018-11-01,Low,1630
15830,ADRO,2018-11-02,Low,1585
15831,ADRO,2018-11-05,Low,1565
15832,ADRO,2018-11-06,Low,1585
15833,ADRO,2018-11-07,Low,1585
15834,ADRO,2018-11-08,Low,1595
15835,ADRO,2018-11-09,Low,1580
15836,ADRO,2018-11-12,Low,1510
15837,ADRO,2018-11-13,Low,1490
15838,ADRO,2018-11-14,Low,1530
15839,ADRO,2018-11-15,Low,1530
15840,ADRO,2018-11-16,Low,1535
15841,ADRO,2018-11-19,Low,1485
15842,ADRO,2018-11-21,Low,1300
15843,ADRO,2018-11-22,Low,1250
15844,ADRO,2018-11-23,Low,1280
15845,ADRO,2018-11-26,Low,1240
15846,ADRO,2018-11-27,Low,1220
15847,ADRO,2018-11-28,Low,1220
15848,ADRO,2018-11-29,Low,1270
15849,ADRO,2018-11-30,Low,1265
15850,ADRO,2018-12-03,Low,1300
15851,ADRO,2018-12-04,Low,1250
15852,ADRO,2018-12-05,Low,1270
15853,ADRO,2018-12-06,Low,1275
15854,ADRO,2018-12-07,Low,1295
15855,ADRO,2018-12-10,Low,1290
15856,ADRO,2018-12-11,Low,1285
15857,ADRO,2018-12-12,Low,1250
15858,ADRO,2018-12-13,Low,1255
15859,ADRO,2018-12-14,Low,1270
15860,ADRO,2018-12-17,Low,1260
15861,ADRO,2018-12-18,Low,1235
15862,ADRO,2018-12-19,Low,1230
15863,ADRO,2018-12-20,Low,1245
15864,ADRO,2018-12-21,Low,1235
15865,ADRO,2018-12-26,Low,1215
15866,ADRO,2018-12-27,Low,1235
15867,ADRO,2018-12-28,Low,1215
15868,ADRO,2019-01-02,Low,1215
15869,ADRO,2019-01-03,Low,1215
